Year,Title,Instructor,Credits,Actual,Capacity
18SP,Clarinet,Schekman Joel W.,1,3,12
18SP,Clarinet,Schekman Joel W.,2,0,10
18SP,Clarinet,Schekman Joel W.,3,0,4
18SP,Saxophone,Briggs John A.,1,1,10
18SP,Saxophone,Briggs John A.,2,2,10
18SP,Saxophone,Briggs John A.,3,0,5
18SP,Jazz Saxophone,Lockwood Thomas E.,1,1,10
18SP,Jazz Saxophone,Lockwood Thomas E.,2,1,10
18SP,Jazz Saxophone,Lockwood Thomas E.,3,1,5
18SP,Bassoon,Beaulieu Genevieve L.,1,1,12
18SP,Bassoon,Beaulieu Genevieve L.,2,0,5
18SP,Bassoon,Beaulieu Genevieve L.,3,1,4
18SP,Horn,French Keith A.,1,1,12
18SP,Horn,French Keith A.,2,1,5
18SP,Horn,French Keith A.,3,0,4
18SP,Trumpet,Ruffer Jonathan D.,1,4,12
18SP,Trumpet,Ruffer Jonathan D.,2,1,10
18SP,Trumpet,Ruffer Jonathan D.,3,0,4
18SP,Jazz Trumpet,Coyle Brian R.,1,1,12
18SP,Jazz Trumpet,Coyle Brian R.,2,0,10
18SP,Jazz Trumpet,Coyle Brian R.,3,0,4
18SP,Trombone/Euphonium,Graham Adam E.,1,1,12
18SP,Trombone/Euphonium,Graham Adam E.,2,0,5
18SP,Trombone/Euphonium,Graham Adam E.,3,0,4
18SP,Jazz Trombone,Graham Adam E.,1,0,12
18SP,Jazz Trombone,Graham Adam E.,2,0,10
18SP,Jazz Trombone,Graham Adam E.,3,0,6
18SP,Baritone/Euphonium,Graham Adam E.,1,0,12
18SP,Baritone/Euphonium,Graham Adam E.,2,0,5
18SP,Baritone/Euphonium,Graham Adam E.,3,0,4
18SP,Tuba,Graham Adam E.,1,1,12
18SP,Tuba,Graham Adam E.,2,0,5
18SP,Tuba,Graham Adam E.,3,0,4
18SP,Percussion,Secor Gregory,1,0,12
18SP,Percussion,Secor Gregory,2,0,5
18SP,Percussion,Secor Gregory,3,0,4
18SP,Drumset,Shoup Jeffrey A.,1,9,12
18SP,Drumset,Shoup Jeffrey A.,2,0,10
18SP,Drumset,Shoup Jeffrey A.,3,0,5
18SP,Harp,Waldvogel-Warren Martha,1,2,10
18SP,Harp,Waldvogel-Warren Martha,2,1,5
18SP,Harp,Waldvogel-Warren Martha,3,0,5
18SP,Violin,Craioveanu Mihai D.,1,8,10
18SP,Violin,Craioveanu Mihai D.,2,1,10
18SP,Violin,Craioveanu Mihai D.,3,2,8
18SP,Viola,Corbato Barbara,1,5,10
18SP,Viola,Corbato Barbara,2,0,6
18SP,Viola,Corbato Barbara,3,0,5
18SP,Cello,Eppinga Alicia A.,1,9,12
18SP,Cello,Eppinga Alicia A.,2,0,10
18SP,Cello,Eppinga Alicia A.,3,1,8
18SP,String Bass,Straus Melissa M.,1,3,10
18SP,String Bass,Straus Melissa M.,2,0,5
18SP,String Bass,Straus Melissa M.,3,0,10
18SP,Jazz & Contemporary Bass,Hoats Charles D.,1,2,12
18SP,Jazz & Contemporary Bass,Hoats Charles D.,2,0,10
18SP,Jazz & Contemporary Bass,Hoats Charles D.,3,0,6
18SP,Organ,Lewis Huw R.,1,2,10
18SP,Organ,Lewis Huw R.,2,0,10
18SP,Organ,Lewis Huw R.,3,4,10
18SP,Jazz Organ,Monaco Anthony G.,1,6,12
18SP,Jazz Organ,Monaco Anthony G.,2,0,10
18SP,Jazz Organ,Monaco Anthony G.,3,0,5
18SP,Piano,Le Andrew C.,1,4,20
18SP,Piano,Le Andrew C.,2,2,10
18SP,Piano,Le Andrew C.,3,5,15
18SP,Piano,Kolean Lora L.,1,13,10
18SP,Piano,Kolean Lora L.,2,0,10
18SP,Piano,Kolean Lora L.,3,1,5
18SP,Harpsichord,Lewis Huw R.,1,0,10
18SP,Harpsichord,Lewis Huw R.,2,0,10
18SP,Harpsichord,Lewis Huw R.,3,0,5
18SP,Contemporary & Jazz Piano,Talaga Stephen C.,1,5,10
18SP,Contemporary & Jazz Piano,Talaga Stephen C.,2,0,10
18SP,Contemporary & Jazz Piano,Talaga Stephen C.,3,2,5
18SP,Guitar,Martin David J.,1,30,30
18SP,Guitar,Martin David J.,2,1,5
18SP,Guitar,Martin David J.,3,2,5
18SP,Banjo,Roberts Nathaniel J.,1,4,15
18SP,Banjo,Roberts Nathaniel J.,2,1,10
18SP,Banjo,Roberts Nathaniel J.,3,3,5
18SP,Contemporary & Jazz Guitar,Hyde Michael R.,1,8,30
18SP,Contemporary & Jazz Guitar,Hyde Michael R.,2,0,10
18SP,Contemporary & Jazz Guitar,Hyde Michael R.,3,0,15
18SP,Mandolin,Roberts Nathaniel J.,1,1,15
18SP,Mandolin,Roberts Nathaniel J.,2,0,10
18SP,Mandolin,Roberts Nathaniel J.,3,1,5
18SP,Voice,Kim JungWoo,1,8,20
18SP,Voice,Kim JungWoo,2,7,10
18SP,Voice,Kim JungWoo,3,4,20
18SP,Voice,Dykstra Linda L.,1,6,20
18SP,Voice,Dykstra Linda L.,2,2,10
18SP,Voice,Dykstra Linda L.,3,2,20
18SP,Voice,Richmond Brad W.,1,2,20
18SP,Voice,Richmond Brad W.,2,1,10
18SP,Voice,Richmond Brad W.,3,0,10
18SP,Voice,Pilon Sherri L.,1,11,20
18SP,Voice,Pilon Sherri L.,2,0,10
18SP,Voice,Pilon Sherri L.,3,0,20
18SP,Voice,Penning Koperski Diane,1,9,20
18SP,Contemporary & Jazz Voice,Hyde Edith E.,1,6,9
18SP,Contemporary & Jazz Voice,Hyde Edith E.,2,0,10
18SP,Contemporary & Jazz Voice,Hyde Edith E.,3,1,5
18SP,Classical Guitar Class Begin,Martin David J.,2,10,14
18SP,Folk Style Guitar Methods,Martin David J.,2,8,14
18SP,Applied Composition,Talaga Stephen C.,2,1,12
18SP,Applied Composition,Talaga Stephen C.,3,1,12
18SP,Songwriting Composition,Roberts Nathaniel J.,2,1,12
18SP,Songwriting Composition,Roberts Nathaniel J.,3,0,12
18SP,Applied Computer Music,Staff,2,0,0
18SP,Applied Computer Music,Staff,3,0,0
18SP,Applied Computer Music,Staff,  2/3,0,0
18SP,Piano Class Beginning,Kolean Lora L.,2,8,14
18SP,Piano Class Beginning,Kolean Lora L.,2,12,14
18SP,Piano Class Beginning,Kolean Lora L.,2,12,14
18SP,Piano Class Beginning,Kolean Lora L.,2,11,14
18SP,Piano Class Intermediate,Kolean Lora L.,2,7,14
18SP,Voice Class Beginning,Pilon Sherri L.,2,6,12
18SP,Voice Class Intermediate,Pilon Sherri L.,2,3,12
18SP,Keyboard Skills IB,Strouf Linda K.,1,8,12
18SP,Keyboard Skills IB,Strouf Linda K.,1,11,12
18SP,Eurhythmics II,Dittus Jeremy K.,.5,12,15
18SP,Theory IV,Hodson Robert D.,4,18,20
18SP,Aural Skills IV,Wolfe Jennifer A.,1,12,20
18SP,Advanced Orchestral Conducting,Fashun Christopher H.,2,1,10
18SP,Advanced Band Conducting,Southard Robert G.,2,1,10
18SP,Special Studies in Recording,Elliot Drew I.,3,7,12
18SP,Keyboard Skills,Strouf Linda K.,1,10,12
18SP,Counterpoint,Lewis Huw R.,3,3,10
18SP,Music Literature Before 1700,Payne Alyson M.,4,8,24
18SP,Piano Pedagogy II,Kolean Lora L.,1,1,10
18SP,Piano Literature II,Le Andrew C.,1,0,5
18SP,String Methods I,Craioveanu Mihai D.,1,7,10
18SP,Organ Pedagogy,Lewis Huw R.,2,1,10
18SP,Diction for Singers I,Penning Koperski Diane,1,5,10
18SP,Voice Pedagogy,Staff,2,0,0
18SP,Flute Literature &Pedagogy,Southard Robert G.,3,1,5
18SP,Saxophone Literature &Pedagogy,Briggs John A.,1,1,10
18SP,Advanced Choral Conducting,Richmond Brad W.,2,7,12
18SP,Jazz Theory & Improvisation II,Talaga Stephen C.,3,1,10
18SP,Jazz Composition &Arranging II,Talaga Stephen C.,3,0,10
18SP,Recording Arts & Techniques I,Elliot Drew I.,2,11,10
18SP,Secondary Choral Methods,Hornbach Christina M.,4,2,10
18SP,Junior Recital,Southard Robert G.,0,4,10
18SP,Adv Mixing Techniques Seminar,Elliot Drew I.,4,5,10
18SP,Keyboard Skills II: Piano,Strouf Linda K.,1,5,10
18SP,Keyboard Skills II: Organ,Lewis Huw R.,1,1,10
18SP,Ind Study: Advanced Recording,Munch Jean-Yves,  1-4,0,10
18SP,Independent Study,Elliot Drew I.,4,0,10
18SP,Independent Study,Richmond Brad W.,  1-4,1,10
18SP,Senior Recital,Southard Robert G.,0,4,10
18SP,Music Internship,Elliot Drew I.,  1-4,1,5
14FA,Pending Audition - Piano,Le Andrew C.,  2/3,0,50
14FA,Pending Audition - Voice,Dykstra Linda L.,  2/3,0,50
14FA,Concert Attendance,Hodson Robert D.,0,65,100
14FA,Introduction to Music,Kim JungWoo,4,35,35
14FA,Introduction to Music,Lewis Huw R.,4,35,35
14FA,Introduction to Music,Leach James D.,4,25,35
14FA,Introduction to Music,Craioveanu Mihai D.,4,11,35
14FA,World Music,Tang Kai,4,35,35
14FA,Survey of Jazz,Coyle Brian R.,4,42,40
14FA,Survey of Jazz,Talaga Stephen C.,4,42,40
14FA,Theory I,Hodson Robert D.,4,17,20
14FA,Theory I,Hodson Robert D.,4,16,20
14FA,Aural Skills I,Wolfe Jennifer A.,1,12,20
14FA,Aural Skills I,Wolfe Jennifer A.,1,14,20
14FA,Chapel Choir,Richmond Brad W.,1,16,25
14FA,Chapel Choir,Richmond Brad W.,0,33,25
14FA,College Chorus,Richmond Brad W.,1,35,50
14FA,College Chorus,Richmond Brad W.,0,23,50
14FA,Women's Chamber Choir,Wolfe Jennifer A.,1,10,30
14FA,Women's Chamber Choir,Wolfe Jennifer A.,0,10,30
14FA,Orchestra,Lestrud Ingrid M.,1,12,30
14FA,Orchestra,Lestrud Ingrid M.,1,3,30
14FA,Orchestra,Lestrud Ingrid M.,0,18,30
14FA,Orchestra,Lestrud Ingrid M.,0,13,30
14FA,Wind Ensemble,Coyle Brian R.,1,14,30
14FA,Wind Ensemble,Coyle Brian R.,0,30,30
14FA,Concert Band,Coyle Brian R.,1,12,30
14FA,Concert Band,Coyle Brian R.,0,17,30
14FA,Jazz Arts Collective,Coyle Brian R.,1,4,20
14FA,Jazz Arts Collective,Coyle Brian R.,0,5,15
14FA,Collegium Musicum - Vocal,Staff,1,0,15
14FA,Collegium Musicum - Vocal,Staff,0,0,15
14FA,Jazz Chamber Ensemble I,Coyle Brian R.,.5,5,4
14FA,Jazz Chamber Ensemble I,Coyle Brian R.,0,4,4
14FA,Jazz Chamber Ensemble II,Hodson Robert D.,.5,3,4
14FA,Jazz Chamber Ensemble II,Hodson Robert D.,0,3,4
14FA,Jazz Chamber Ensemble III,Talaga Stephen C.,.5,2,4
14FA,Jazz Chamber Ensemble III,Talaga Stephen C.,0,3,4
14FA,Jazz Chamber Ensemble IV,Van Lente Michael J.,.5,1,4
14FA,Jazz Chamber Ensemble IV,Van Lente Michael J.,0,3,4
14FA,Jazz Chamber Ensemble V,Lockwood Thomas E.,.5,1,4
14FA,Jazz Chamber Ensemble V,Lockwood Thomas E.,0,3,4
14FA,Jazz Education Ensemble,Coyle Brian R.,.5,1,5
14FA,Jazz Education Ensemble,Coyle Brian R.,0,3,5
14FA,Flute Choir,Sooy Julie A.,.5,4,12
14FA,Flute Choir,Sooy Julie A.,0,3,12
14FA,Chamber Music,Craioveanu Mihai D.,.5,2,4
14FA,Chamber Music,Craioveanu Mihai D.,0,6,4
14FA,Chamber Music,Le Andrew C.,.5,1,4
14FA,Chamber Music,Le Andrew C.,0,3,4
14FA,Chinese Music Ensemble,Tang Kai,.5,2,5
14FA,Chinese Music Ensemble,Tang Kai,0,6,5
14FA,12th Street Harmony,Richmond Brad W.,.5,2,12
14FA,12th Street Harmony,Richmond Brad W.,0,5,12
14FA,Luminescence,Richmond Brad W.,.5,3,12
14FA,Luminescence,Richmond Brad W.,0,8,12
14FA,Saxophone Quartet,Briggs John A.,.5,0,4
14FA,Saxophone Quartet,Briggs John A.,0,4,4
14FA,Woodwind Quintet,Southard Sarah,.5,1,5
14FA,Woodwind Quintet,Southard Sarah,0,4,5
14FA,Piano Ensemble,Le Andrew C.,.5,1,5
14FA,Piano Ensemble,Le Andrew C.,0,1,5
14FA,Woodwind Chamber Ensemble,Southard Sarah,.5,0,4
14FA,Woodwind Chamber Ensemble,Southard Sarah,0,3,4
14FA,Woodwind Chamber Ensemble,Schekman Joel W.,.5,0,4
14FA,Woodwind Chamber Ensemble,Schekman Joel W.,0,0,4
14FA,Percussion Ensemble,Peterson Eric M.,.5,1,5
14FA,Percussion Ensemble,Peterson Eric M.,0,4,5
14FA,Folk Music Ensemble I,Roberts Nathaniel J.,.5,1,10
14FA,Folk Music Ensemble I,Roberts Nathaniel J.,0,1,10
14FA,Folk Music Ensemble II,Staff,.5,0,0
14FA,Folk Music Ensemble II,Staff,0,0,0
14FA,Brass Ensemble,Smitter Pamela K.,.5,0,10
14FA,Brass Ensemble,Smitter Pamela K.,0,7,10
14FA,Guitar Ensemble,Martin David J.,.5,2,10
14FA,Guitar Ensemble,Martin David J.,0,1,10
14FA,Flute,Sooy Julie A.,2,1,12
14FA,Flute,VanDeWalker Rebecca J.,2,2,10
14FA,Flute,VanDeWalker Rebecca J.,3,3,15
14FA,Oboe,Southard Sarah,2,3,12
14FA,Oboe,Southard Sarah,2,2,10
14FA,Oboe,Southard Sarah,3,0,5
14FA,Clarinet,Schekman Joel W.,2,2,12
14FA,Clarinet,Schekman Joel W.,2,1,10
14FA,Clarinet,Schekman Joel W.,3,1,4
14FA,Saxophone,Briggs John A.,2,1,12
14FA,Saxophone,Briggs John A.,2,2,10
14FA,Saxophone,Briggs John A.,3,0,5
14FA,Jazz Saxophone,Lockwood Thomas E.,2,0,12
14FA,Jazz Saxophone,Lockwood Thomas E.,2,0,10
14FA,Jazz Saxophone,Lockwood Thomas E.,3,1,5
14FA,Bassoon,Clapp John G.,2,2,12
14FA,Bassoon,Clapp John G.,2,0,10
14FA,Bassoon,Clapp John G.,3,0,5
14FA,Horn,French Keith A.,2,3,12
14FA,Horn,French Keith A.,2,0,10
14FA,Horn,French Keith A.,3,0,5
14FA,Trumpet,Smitter Pamela K.,2,0,12
14FA,Trumpet,Smitter Pamela K.,2,1,10
14FA,Trumpet,Smitter Pamela K.,3,0,5
14FA,Jazz Trumpet,Lawrence Christopher J.,2,0,12
14FA,Jazz Trumpet,Lawrence Christopher J.,2,0,10
14FA,Jazz Trumpet,Lawrence Christopher J.,3,0,6
14FA,Trombone/Euphonium,Wesselink Paul J.,2,1,12
14FA,Trombone/Euphonium,Wesselink Paul J.,2,0,10
14FA,Trombone/Euphonium,Wesselink Paul J.,3,0,5
14FA,Jazz Trombone,Wesselink Paul J.,2,0,12
14FA,Jazz Trombone,Wesselink Paul J.,2,0,10
14FA,Jazz Trombone,Wesselink Paul J.,3,0,5
14FA,Tuba,Wesselink Paul J.,2,2,12
14FA,Tuba,Wesselink Paul J.,2,1,10
14FA,Tuba,Wesselink Paul J.,3,0,5
14FA,Percussion,Secor Gregory,2,0,12
14FA,Percussion,Secor Gregory,2,1,10
14FA,Percussion,Secor Gregory,3,0,5
14FA,Drumset,Van Lente Michael J.,2,13,20
14FA,Drumset,Van Lente Michael J.,2,0,10
14FA,Drumset,Van Lente Michael J.,3,0,5
14FA,Harp,Waldvogel-Warren Martha,2,3,12
14FA,Harp,Waldvogel-Warren Martha,2,0,10
14FA,Harp,Waldvogel-Warren Martha,3,0,5
14FA,Violin,Craioveanu Mihai D.,2,3,12
14FA,Violin,Craioveanu Mihai D.,2,3,10
14FA,Violin,Craioveanu Mihai D.,3,2,5
14FA,Viola,Corbato Barbara,2,1,12
14FA,Viola,Corbato Barbara,2,0,10
14FA,Viola,Corbato Barbara,3,0,5
14FA,Cello,Eppinga Alicia A.,2,4,12
14FA,Cello,Eppinga Alicia A.,2,1,10
14FA,Cello,Eppinga Alicia A.,3,0,5
14FA,String Bass,Straus Melissa M.,2,3,12
14FA,String Bass,Straus Melissa M.,2,0,10
14FA,String Bass,Straus Melissa M.,3,1,5
14FA,Contemporary and Jazz Bass,Hoats Charles D.,2,3,12
14FA,Contemporary and Jazz Bass,Hoats Charles D.,2,0,10
14FA,Contemporary and Jazz Bass,Hoats Charles D.,3,2,5
14FA,Organ,Lewis Huw R.,2,1,12
14FA,Organ,Lewis Huw R.,2,1,10
14FA,Organ,Lewis Huw R.,3,4,5
14FA,Jazz Organ,Monaco Anthony G.,2,4,12
14FA,Jazz Organ,Monaco Anthony G.,2,0,10
14FA,Jazz Organ,Monaco Anthony G.,3,0,5
14FA,Piano,Staff,2,0,0
14FA,Piano,Staff,2,0,0
14FA,Piano,Staff,3,0,0
14FA,Piano,Le Andrew C.,2,4,10
14FA,Piano,Le Andrew C.,2,0,10
14FA,Piano,Le Andrew C.,3,3,10
14FA,Piano,Aschbrenner Charles,2,7,10
14FA,Piano,Aschbrenner Charles,3,2,10
14FA,Piano,Kolean Lora L.,2,7,10
14FA,Piano,Kolean Lora L.,2,0,10
14FA,Piano,Kolean Lora L.,3,2,10
14FA,Contemporary and Jazz Piano,Talaga Stephen C.,2,5,10
14FA,Contemporary and Jazz Piano,Talaga Stephen C.,2,0,10
14FA,Contemporary and Jazz Piano,Talaga Stephen C.,3,0,10
14FA,Guitar,Martin David J.,2,24,25
14FA,Guitar,Martin David J.,2,0,5
14FA,Guitar,Martin David J.,3,1,5
14FA,Banjo,Roberts Nathaniel J.,2,0,15
14FA,Banjo,Roberts Nathaniel J.,2,0,15
14FA,Banjo,Roberts Nathaniel J.,3,4,15
14FA,Banjo,Staff,3,0,15
14FA,Contemporary and Jazz Guitar,Hyde Michael R.,2,16,30
14FA,Contemporary and Jazz Guitar,Hyde Michael R.,2,1,15
14FA,Contemporary and Jazz Guitar,Hyde Michael R.,3,4,15
14FA,Mandolin,Roberts Nathaniel J.,2,2,15
14FA,Mandolin,Roberts Nathaniel J.,2,0,15
14FA,Mandolin,Roberts Nathaniel J.,3,1,5
14FA,Voice,Kim JungWoo,2,12,20
14FA,Voice,Kim JungWoo,2,5,10
14FA,Voice,Kim JungWoo,3,1,20
14FA,Voice,Dykstra Linda L.,2,15,20
14FA,Voice,Dykstra Linda L.,2,1,10
14FA,Voice,Dykstra Linda L.,3,7,20
14FA,Voice,Richmond Brad W.,2,2,20
14FA,Voice,Richmond Brad W.,2,1,10
14FA,Voice,Richmond Brad W.,3,0,10
14FA,Voice,Pilon Sherri L.,2,12,20
14FA,Voice,Pilon Sherri L.,2,0,10
14FA,Voice,Pilon Sherri L.,3,0,20
14FA,Contemporary and Jazz Voice,Hyde Edith E.,2,6,12
14FA,Contemporary and Jazz Voice,Hyde Edith E.,2,0,5
14FA,Contemporary and Jazz Voice,Hyde Edith E.,3,0,5
14FA,Classical Guitar Class Begin,Malfroid Larry,2,7,14
14FA,Folk Style Guitar Methods,Malfroid Larry,2,13,14
14FA,Applied Composition,Talaga Stephen C.,2,2,6
14FA,Applied Composition,Talaga Stephen C.,3,0,6
14FA,Applied Computer Music,Munch Jean-Yves,2,3,6
14FA,Applied Computer Music,Erskine John K.,3,2,6
14FA,Applied Computer Music,Erskine John K.,2,2,6
14FA,Piano Class Beginning,Kolean Lora L.,2,14,14
14FA,Piano Class Beginning,Kolean Lora L.,2,11,14
14FA,Piano Class Beginning,Kolean Lora L.,2,10,14
14FA,Piano Class Beginning,Kolean Lora L.,2,13,14
14FA,Voice Class Beginning,Pilon Sherri L.,2,8,12
14FA,Voice Class Intermediate,Pilon Sherri L.,2,6,12
14FA,Keyboard Skills,Strouf Linda K.,1,8,14
14FA,Keyboard Skills,Strouf Linda K.,1,5,14
14FA,Eurhythmics I,Aschbrenner Charles,.5,8,20
14FA,Theory III,Hodson Robert D.,4,11,15
14FA,Aural Skills III,Wolfe Jennifer A.,1,11,15
14FA,Musical Perspectives,Hornbach Christina M.,4,3,10
14FA,Keyboard Skills - Intermediate,Strouf Linda K.,1,3,14
14FA,Elementary Music Methods,Hornbach Christina M.,4,7,15
14FA,Hist & Literature of Symphony,Randel Julia,4,11,20
14FA,Music in the Church,Lewis Huw R.,3,7,10
14FA,Piano Pedagogy I,Kolean Lora L.,1,1,10
14FA,Woodwind Methods I,Schekman Joel W.,1,6,10
14FA,Instrum of Band & Orchestra I,Craioveanu Mihai D.,1,6,10
14FA,Woodwind Methods II,Sooy Julie A.,1,6,10
14FA,Conducting Techniques,Richmond Brad W.,2,9,15
14FA,Diction for Singers II,Dykstra Linda L.,1,1,10
14FA,Advanced Choral Conducting,Richmond Brad W.,2,5,12
14FA,Jazz Theory & Improvisation I,Talaga Stephen C.,3,4,15
14FA,Jazz Composition & Arranging I,Talaga Stephen C.,3,3,15
14FA,Recording Arts & Techniques,Erskine John K.,2,3,10
14FA,Studies in Music Theory,Hodson Robert D.,2,5,10
14FA,Keyboard Skills for Piano,Le Andrew C.,1,4,14
14FA,Keyboard Skills for Organ,Lewis Huw R.,1,2,10
14FA,Ind Study: Advanced Recording,Munch Jean-Yves,4,0,5
14FA,Live Sound Management,Erskine John K.,4,1,5
14FA,Audio for Video,Erskine John K.,4,0,5
14FA,Ind Stdy: Audio Mixdown,Erskine John K.,  1-4,0,5
14FA,Seminar in Music,Randel Julia,2,8,14
14FA,Seminar in Music,Randel Julia,2,1,14
13FA,Pending Audition - Piano,Le Andrew C.,  2/3,0,50
13FA,Pending Audition - Voice,Dykstra Linda L.,  2/3,0,50
13FA,Concert Attendance,Hodson Robert D.,0,75,100
13FA,Introduction to Music,Clark Adam L.,4,35,35
13FA,Introduction to Music,Lewis Huw R.,4,34,35
13FA,World Music,Zidones Randall J.,4,34,35
13FA,Survey of Jazz,Coyle Brian R.,4,43,40
13FA,Survey of Jazz,Talaga Stephen C.,4,40,40
13FA,Theory I,West Elizabeth O.,4,13,20
13FA,Theory I,West Elizabeth O.,4,14,20
13FA,Aural Skills I,Wolfe Jennifer A.,1,13,20
13FA,Aural Skills I,Wolfe Jennifer A.,1,13,20
13FA,Chapel Choir,Richmond Brad W.,1,15,25
13FA,Chapel Choir,Richmond Brad W.,0,31,25
13FA,College Chorus,Richmond Brad W.,1,34,50
13FA,College Chorus,Richmond Brad W.,0,21,50
13FA,Women's Chamber Choir,Wolfe Jennifer A.,1,9,30
13FA,Women's Chamber Choir,Wolfe Jennifer A.,0,9,30
13FA,Orchestra,Piippo Richard G.,1,15,30
13FA,Orchestra,Piippo Richard G.,1,6,30
13FA,Orchestra,Piippo Richard G.,0,24,30
13FA,Orchestra,Piippo Richard G.,0,13,30
13FA,Wind Ensemble,Southard Robert G.,1,14,30
13FA,Wind Ensemble,Southard Robert G.,0,34,30
13FA,Concert Band,Southard Robert G.,1,17,30
13FA,Concert Band,Southard Robert G.,0,18,30
13FA,Jazz Arts Collective,Coyle Brian R.,1,3,20
13FA,Jazz Arts Collective,Coyle Brian R.,0,10,15
13FA,Collegium Musicum - Vocal,DeBoer James R.,1,6,15
13FA,Collegium Musicum - Vocal,DeBoer James R.,0,15,15
13FA,Jazz Chamber Ensemble I,Coyle Brian R.,.5,2,4
13FA,Jazz Chamber Ensemble I,Coyle Brian R.,0,4,4
13FA,Jazz Chamber Ensemble II,Hodson Robert D.,.5,4,4
13FA,Jazz Chamber Ensemble II,Hodson Robert D.,0,3,4
13FA,Jazz Chamber Ensemble III,Talaga Stephen C.,.5,3,4
13FA,Jazz Chamber Ensemble III,Talaga Stephen C.,0,1,4
13FA,Jazz Chamber Ensemble IV,Van Lente Michael J.,.5,2,4
13FA,Jazz Chamber Ensemble IV,Van Lente Michael J.,0,1,4
13FA,Jazz Chamber Ensemble V,Lockwood Thomas E.,.5,1,4
13FA,Jazz Chamber Ensemble V,Lockwood Thomas E.,0,4,4
13FA,Jazz Education Ensemble,Coyle Brian R.,.5,2,5
13FA,Jazz Education Ensemble,Coyle Brian R.,0,5,5
13FA,Flute Choir,Sooy Julie A.,.5,2,12
13FA,Flute Choir,Sooy Julie A.,0,6,12
13FA,Chamber Music,Staff,.5,0,4
13FA,Chamber Music,Staff,0,0,4
13FA,Chamber Music,Craioveanu Mihai D.,.5,2,4
13FA,Chamber Music,Craioveanu Mihai D.,0,4,4
13FA,Chamber Music,Le Andrew C.,.5,3,4
13FA,Chamber Music,Le Andrew C.,0,3,4
13FA,12th Street Harmony,Richmond Brad W.,.5,3,12
13FA,12th Street Harmony,Richmond Brad W.,0,3,12
13FA,Luminescence,Richmond Brad W.,.5,0,12
13FA,Luminescence,Richmond Brad W.,0,12,12
13FA,Saxophone Quartet,Briggs John A.,.5,1,4
13FA,Saxophone Quartet,Briggs John A.,0,2,4
13FA,Woodwind Quintet,Southard Sarah,.5,1,5
13FA,Woodwind Quintet,Southard Sarah,0,4,5
13FA,Piano Ensemble,Clark Adam L.,.5,3,5
13FA,Piano Ensemble,Clark Adam L.,0,3,5
13FA,Woodwind Chamber Ensemble,Southard Sarah,.5,0,4
13FA,Woodwind Chamber Ensemble,Southard Sarah,0,3,4
13FA,Woodwind Chamber Ensemble,Schekman Joel W.,.5,0,4
13FA,Woodwind Chamber Ensemble,Schekman Joel W.,0,3,4
13FA,Percussion Ensemble,Southard Robert G.,.5,2,5
13FA,Percussion Ensemble,Southard Robert G.,0,5,4
13FA,Flute,Sooy Julie A.,2,1,12
13FA,Flute,Southard Robert G.,2,1,10
13FA,Flute,Southard Robert G.,3,5,15
13FA,Flute,Sooy Julie A.,3,0,15
13FA,Oboe,Southard Sarah,2,4,12
13FA,Oboe,Southard Sarah,2,2,10
13FA,Oboe,Southard Sarah,3,1,5
13FA,Clarinet,Schekman Joel W.,2,4,12
13FA,Clarinet,Schekman Joel W.,2,2,10
13FA,Clarinet,Schekman Joel W.,3,1,4
13FA,Saxophone,Briggs John A.,2,2,12
13FA,Saxophone,Briggs John A.,2,0,1
13FA,Saxophone,Briggs John A.,3,1,4
13FA,Jazz Saxophone,Lockwood Thomas E.,2,0,10
13FA,Jazz Saxophone,Lockwood Thomas E.,3,1,5
13FA,Bassoon,Clapp John G.,2,2,12
13FA,Bassoon,Clapp John G.,2,0,5
13FA,Bassoon,Clapp John G.,3,0,4
13FA,Horn,French Keith A.,2,3,12
13FA,Horn,French Keith A.,2,0,5
13FA,Horn,French Keith A.,3,0,4
13FA,Trumpet,Smitter Pamela K.,2,3,12
13FA,Trumpet,Smitter Pamela K.,2,1,10
13FA,Trumpet,Smitter Pamela K.,3,1,4
13FA,Jazz Trumpet,Coyle Brian R.,2,0,12
13FA,Jazz Trumpet,Coyle Brian R.,3,0,6
13FA,Trombone/Euphonium,Wesselink Paul J.,2,1,12
13FA,Trombone,Wesselink Paul J.,2,0,5
13FA,Trombone/Euphonium,Wesselink Paul J.,3,0,4
13FA,Jazz Trombone,Wesselink Paul J.,2,2,12
13FA,Jazz Trombone,Wesselink Paul J.,3,0,6
13FA,Tuba,Wesselink Paul J.,2,3,12
13FA,Tuba/Euphonium,Wesselink Paul J.,2,1,5
13FA,Tuba,Wesselink Paul J.,3,0,4
13FA,Percussion,Secor Gregory,2,7,12
13FA,Percussion,Secor Gregory,2,1,5
13FA,Percussion,Secor Gregory,3,0,4
13FA,Jazz Percussion,Van Lente Michael J.,2,12,20
13FA,Jazz Percussion,Van Lente Michael J.,3,1,5
13FA,Harp,Waldvogel-Warren Martha,2,1,10
13FA,Harp,Waldvogel-Warren Martha,2,0,5
13FA,Harp,Waldvogel-Warren Martha,3,1,5
13FA,Violin,Craioveanu Mihai D.,2,4,10
13FA,Violin,Craioveanu Mihai D.,2,3,10
13FA,Violin,Craioveanu Mihai D.,3,4,8
13FA,Viola,Corbato Barbara,2,4,10
13FA,Viola,Corbato Barbara,2,0,6
13FA,Viola,Corbato Barbara,3,0,5
