"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2010"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2010 (201008)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Saxophone","MUS","164","01","80054",2,FA2,"TBA","","","","","","","","TBA",12,1,11,0,"Lockwood, Thomas E.",08/31-12/10,16
"CLOSED","Saxophone","MUS","164","011","80887",2,"","TBA","","","","","","","","TBA",1,1,0,0,"Lockwood, Thomas E.",08/31-12/10,16
"COMPLETED","Saxophone","MUS","164","02","80055",3,"","TBA","","","","","","","","TBA",4,0,4,0,"Lockwood, Thomas E.",08/31-12/10,16
"COMPLETED","Jazz Saxophone","MUS","164","03","80056",2,FA2,"TBA","","","","","","","","TBA",10,3,7,0,"Lockwood, Thomas E.",08/31-12/10,16
"COMPLETED","Jazz Saxophone","MUS","164","04","80687",3,"","TBA","","","","","","","","TBA",5,1,4,0,"Lockwood, Thomas E.",08/31-12/10,16
"COMPLETED","Bassoon","MUS","165","01","80057",2,FA2,"TBA","","","","","","","","TBA",12,2,10,0,"Clapp, John G.",08/31-12/10,16
"COMPLETED","Bassoon","MUS","165","02","80058",3,"","TBA","","","","","","","","TBA",4,1,3,0,"Clapp, John G.",08/31-12/10,16
"COMPLETED","Horn","MUS","166","01","80059",2,FA2,"TBA","","","","","","","","TBA",12,4,8,0,"Peterson, Erich M.",08/31-12/10,16
"COMPLETED","Horn","MUS","166","02","80060",3,"","TBA","","","","","","","","TBA",4,1,3,0,"Peterson, Erich M.",08/31-12/10,16
"COMPLETED","Trumpet","MUS","167","01","80061",2,FA2,"TBA","","","","","","","","TBA",12,3,9,0,"Puccini, Dorival",08/31-12/10,16
"COMPLETED","Trumpet","MUS","167","011","80837",2,"","TBA","","","","","","","","TBA",10,1,9,0,"Puccini, Dorival",08/31-12/10,16
"COMPLETED","Trumpet","MUS","167","02","80062",3,"","TBA","","","","","","","","TBA",4,2,2,0,"Puccini, Dorival",08/31-12/10,16
"COMPLETED","Jazz Trumpet","MUS","167","03","80063",2,FA2,"TBA","","","","","","","","TBA",12,0,12,0,"Coyle, Brian R.",08/31-12/10,16
"COMPLETED","Jazz Trumpet","MUS","167","04","80620",3,"","TBA","","","","","","","","TBA",6,0,6,0,"Coyle, Brian R.",08/31-12/10,16
"COMPLETED","Trombone/Euphonium","MUS","168","01","80064",2,FA2,"TBA","","","","","","","","TBA",12,1,11,0,"Spencer, Daniel T.",08/31-12/10,16
"COMPLETED","Trombone/Euphonium","MUS","168","02","80065",3,"","TBA","","","","","","","","TBA",4,0,4,0,"Spencer, Daniel T.",08/31-12/10,16
"COMPLETED","Jazz Trombone","MUS","168","03","80066",2,FA2,"TBA","","","","","","","","TBA",12,1,11,0,"Wesselink, Paul J.",08/31-12/10,16
"COMPLETED","Jazz Trombone","MUS","168","04","80688",3,"","TBA","","","","","","","","TBA",6,0,6,0,"Wesselink, Paul J.",08/31-12/10,16
"COMPLETED","Tuba","MUS","170","01","80067",2,FA2,"TBA","","","","","","","","TBA",12,0,12,0,"Spencer, Daniel T.",08/31-12/10,16
"COMPLETED","Tuba","MUS","170","02","80068",3,"","TBA","","","","","","","","TBA",4,0,4,0,"Spencer, Daniel T.",08/31-12/10,16
"COMPLETED","Percussion","MUS","171","01","80069",2,FA2,"TBA","","","","","","","","TBA",12,3,9,0,"Secor, Gregory",08/31-12/10,16
"COMPLETED","Percussion","MUS","171","02","80070",3,"","TBA","","","","","","","","TBA",4,0,4,0,"Secor, Gregory",08/31-12/10,16
"COMPLETED","Jazz Percussion","MUS","171","03","80071",2,FA2,"TBA","","","","","","","","TBA",12,6,6,0,"Van Lente, Michael J.",08/31-12/10,16
"COMPLETED","Jazz Percussion","MUS","171","04","80668",3,"","TBA","","","","","","","","TBA",5,2,3,0,"Van Lente, Michael J.",08/31-12/10,16
"COMPLETED","Harp","MUS","172","01","81197",2,FA2,"TBA","","","","","","","","TBA",10,1,9,0,"Waldvogel-Warren, Martha",08/31-12/10,16
"COMPLETED","Harp","MUS","172","02","81198",3,"","TBA","","","","","","","","TBA",5,0,5,0,"Waldvogel-Warren, Martha",08/31-12/10,16
"COMPLETED","Violin","MUS","173","01","80072",2,FA2,"TBA","","","","","","","","TBA",10,2,8,0,"Craioveanu, Mihai D.",08/31-12/10,16
"COMPLETED","Violin","MUS","173","011","80838",2,"","TBA","","","","","","","","TBA",10,2,8,0,"Craioveanu, Mihai D.",08/31-12/10,16
"CLOSED","Violin","MUS","173","02","80073",3,"","TBA","","","","","","","","TBA",8,11,-3,0,"Craioveanu, Mihai D.",08/31-12/10,16
"COMPLETED","Viola","MUS","174","01","80613",2,FA2,"TBA","","","","","","","","TBA",10,2,8,0,"Corbato, Barbara",08/31-12/10,16
"COMPLETED","Viola","MUS","174","011","80953",2,FA2,"TBA","","","","","","","","TBA",6,0,6,0,"Corbato, Barbara",08/31-12/10,16
