"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Spring 2010"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"SPRING 2010 (201001)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","String Bass","MUS","176","02","11187",3,"","TBA","","","","","","","","TBA",5,2,3,0,"Straus, Melissa M.",01/12-05/07,16
"COMPLETED","Jazz Bass","MUS","176","03","10082",2,FA2,"TBA","","","","","","","","TBA",12,5,7,0,"Hoats, Charles D.",01/12-05/07,16
"COMPLETED","Jazz Bass","MUS","176","04","10083",3,"","TBA","","","","","","","","TBA",4,1,3,0,"Hoats, Charles D.",01/12-05/07,16
"COMPLETED","Organ","MUS","177","01","10084",2,FA2,"TBA","","","","","","","","TBA",12,6,6,0,"Lewis, Huw R.",01/12-05/07,16
"COMPLETED","Organ","MUS","177","011","10977",2,"","TBA","","","","","","","","TBA",5,0,5,0,"Lewis, Huw R.",01/12-05/07,16
"COMPLETED","Organ","MUS","177","02","10085",3,"","TBA","","","","","","","","TBA",6,5,1,0,"Lewis, Huw R.",01/12-05/07,16
"PERMISSION","Piano","MUS","179","01","10086",2,FA2,"TBA","","","","","","","","TBA",16,5,11,0,"Aschbrenner, Charles",01/12-05/07,16
"PERMISSION","Piano","MUS","179","02","10087",3,"","TBA","","","","","","","","TBA",6,2,4,0,"Aschbrenner, Charles",01/12-05/07,16
"PERMISSION","Piano","MUS","179","03","10088",2,FA2,"TBA","","","","","","","","TBA",16,4,12,0,"Le, Andrew C.",01/12-05/07,16
"COMPLETED","Piano","MUS","179","031","10978",2,FA2,"TBA","","","","","","","","TBA",5,1,4,0,"Le, Andrew C.",01/12-05/07,16
"CLOSED","Piano","MUS","179","04","10089",3,"","TBA","","","","","","","","TBA",8,9,-1,0,"Le, Andrew C.",01/12-05/07,16
"PERMISSION","Piano","MUS","179","05","11030",2,FA2,"TBA","","","","","","","","TBA",12,6,6,0,"Clark, Adam L.",01/12-05/07,16
"COMPLETED","Piano","MUS","179","051","11268",2,"","TBA","","","","","","","","TBA",10,1,9,0,"Clark, Adam L.",01/12-05/07,16
"COMPLETED","Piano","MUS","179","06","10956",3,FA2,"TBA","","","","","","","","TBA",12,5,7,0,"Clark, Adam L.",01/12-05/07,16
"COMPLETED","Piano","MUS","179","07","11474",2,"","TBA","","","","","","","","TBA",8,5,3,0,"Kolean, Lora L.",01/12-05/07,16
"COMPLETED","Piano - Pending Audition","MUS","179","51","10090","  2/3","","TBA","","","","","","","","TBA",50,0,50,0,"Le, Andrew C.",01/12-05/07,16
"COMPLETED","Jazz Piano","MUS","179J","07","11025",2,FA2,"TBA","","","","","","","","TBA",12,9,3,0,"Talaga, Stephen C.",01/12-05/07,16
"COMPLETED","Jazz Piano","MUS","179J","08","11026",3,"","TBA","","","","","","","","TBA",12,0,12,0,"Talaga, Stephen C.",01/12-05/07,16
"CLOSED","Guitar","MUS","180","01","10091",2,FA2,"TBA","","","","","","","","TBA",30,30,0,0,"Martin, David J.",01/12-05/07,16
"PERMISSION","Guitar","MUS","180","02","10524",3,"","TBA","","","","","","","","TBA",10,0,10,0,"Martin, David J.",01/12-05/07,16
"COMPLETED","Jazz Guitar","MUS","180","03","10092",2,FA2,"TBA","","","","","","","","TBA",20,16,4,0,"Hyde, Michael R.",01/12-05/07,16
"COMPLETED","Jazz Guitar","MUS","180","04","10658",3,"","TBA","","","","","","","","TBA",12,1,11,0,"Hyde, Michael R.",01/12-05/07,16
"PERMISSION","Voice","MUS","181","01","10093",2,FA2,"TBA","","","","","","","","TBA",20,1,19,0,"Richmond, Brad W.",01/12-05/07,16
"COMPLETED","Voice","MUS","181","011","10979",2,FA2,"TBA","","","","","","","","TBA",5,0,5,0,"Staff, TBA",01/12-05/07,16
"PERMISSION","Voice","MUS","181","02","10094",3,"","TBA","","","","","","","","TBA",10,0,10,0,"Staff, TBA",01/12-05/07,16
"PERMISSION","Voice","MUS","181","03","10095",2,FA2,"TBA","","","","","","","","TBA",20,8,12,0,"Sharp, Stuart W.",01/12-05/07,16
"COMPLETED","Voice","MUS","181","031","10980",2,FA2,"TBA","","","","","","","","TBA",5,4,1,0,"Sharp, Stuart W.",01/12-05/07,16
"PERMISSION","Voice","MUS","181","04","10096",3,"","TBA","","","","","","","","TBA",10,2,8,0,"Sharp, Stuart W.",01/12-05/07,16
"PERMISSION","Voice","MUS","181","05","10097",2,FA2,"TBA","","","","","","","","TBA",20,11,9,0,"Dykstra, Linda L.",01/12-05/07,16
"CLOSED","Voice","MUS","181","051","10981",2,FA2,"TBA","","","","","","","","TBA",5,5,0,0,"Dykstra, Linda L.",01/12-05/07,16
"PERMISSION","Voice","MUS","181","06","10098",3,"","TBA","","","","","","","","TBA",10,7,3,0,"Dykstra, Linda L.",01/12-05/07,16
"PERMISSION","Voice","MUS","181","07","10099",2,FA2,"TBA","","","","","","","","TBA",20,4,16,0,"Richmond, Brad W.",01/12-05/07,16
"COMPLETED","Voice","MUS","181","071","10992",2,FA2,"TBA","","","","","","","","TBA",5,1,4,0,"Richmond, Brad W.",01/12-05/07,16
"PERMISSION","Voice","MUS","181","08","10100",3,"","TBA","","","","","","","","TBA",5,0,5,0,"Richmond, Brad W.",01/12-05/07,16
"PERMISSION","Voice","MUS","181","09","10101",2,FA2,"TBA","","","","","","","","TBA",12,5,7,0,"Pilon, Sherri L.",01/12-05/07,16
"COMPLETED","Voice","MUS","181","091","11597","  2/3",FA2,"TBA","","","","","","","","TBA",5,1,4,0,"Pilon, Sherri L.",01/12-05/07,16
"PERMISSION","Voice","MUS","181","10","10102",3,"","TBA","","","","","","","","TBA",5,0,5,0,"Pilon, Sherri L.",01/12-05/07,16
"PERMISSION","Voice","MUS","181","11","11476",2,FA2,"TBA","","","","","","","","TBA",12,5,7,0,"Cosgrove, Julia C.",01/12-05/07,16
"COMPLETED","Voice - Pending Audition","MUS","181","51","10103","  2/3","","TBA","","","","","","","","TBA",50,1,49,0,"Dykstra, Linda L.",01/12-05/07,16
"CLOSED","Jazz Voice","MUS","182","01","11269",2,FA2,"TBA","","","","","","","","TBA",12,15,-3,0,"Hyde, Edith E.",01/12-05/07,16
"COMPLETED","Classical Guitar Class, Begin","MUS","186","01","10104",2,FA2,"M"," ","W"," "," "," "," ","1600-1650","NYKERK 101",14,11,3,0,"Malfroid, Larry",01/12-05/07,16
"CLOSED","Folk Style Guitar Methods","MUS","187","01","11450",2,FA2,"M"," ","W"," "," "," "," ","1700-1750","NYKERK 101",14,14,0,0,"Malfroid, Larry",01/12-05/07,16
"PERMISSION","Applied Composition","MUS","188","01","10105",2,FA2,"TBA","","","","","","","","TBA",12,2,10,0,"Talaga, Stephen C.",01/12-05/07,16
"PERMISSION","Applied Composition","MUS","188","02","10106",3,"","TBA","","","","","","","","TBA",12,2,10,0,"Talaga, Stephen C.",01/12-05/07,16
"PERMISSION","Applied Computer Music","MUS","189","01","10107",2,FA2,"TBA","","","","","","","","TBA",12,9,3,0,"Erskine, John K.",01/12-05/07,16
"PERMISSION","Applied Computer Music","MUS","189","02","10108",3,"","TBA","","","","","","","","TBA",12,2,10,0,"Erskine, John K.",01/12-05/07,16
